identifier,author,title,keywords,abstract,datePublished,dateUploaded
doi:10.18739/A2222R64Z,Martin Truffer,"Black Rapids Glacier time-lapse photos, Eastern Alaska Range, 2012-2013",Alaska,"A glacier surge is characterized by a sudden increase in speed by one to two orders of magnitude and often leads to a significant movement of the terminus of the glacier. While the role of subglacial hydraulics during the surge has been well documented, the issue of surge initiation has remained unsolved. Also, the related question of why some glaciers surge and others do not remains open. This data set supported work to investigate whether the special geometry of many Alaska Range glaciers allows particularly large shear stresses to develop that eventually allow a surge to occur. The work focused on the Black Rapids Glacier on the Denali Fault in the eastern Alaska Range. This data set contains time lapse photos collected at three sites to document the filling and draining of ice-marginal lakes. These lakes drain annually to the glacier bed and lubricate it, leading to a glacier speed-up by a factor of two or three that can last more than a day. Such events act like mini-surges. Particular emphasis is placed on the reaction of tributary glaciers to a speed-up of the main branch.",2017-04-20T07:00:00Z,2020-05-21T18:15:50Z
doi:10.18739/A21R6N14K,Svetlana Erofeeva,"Arc5km2018: Arctic Ocean Inverse Tide Model on a 5 kilometer grid, 2018",tide model Arctic Ocean currents sea surface height,"The Arctic Ocean Tidal Inverse Model developed in 2018 (Arc5km2018) is a barotropic tide model on an idealized 5 kilometer polar stereographic grid.  It is an update to the original Arctic Ocean Tidal Inverse Model (AOTIM5) model developed in 2004 ( Padman and Erofeeva, 2004 ). Arc5km2018 was created using the OSU Tidal Inversion Software (OTIS) package . The bathymetry grid is based on the original International Bathymetric Chart of the Arctic Ocean (IBCAO) bathymetry ( Jakobsson et al., 2000 ). Arc5km2018 was developed using the scheme described in Egbert and Erofeeva (2002) , and consists of grids of sea surface height and depth-integrated currents (""volume transports"") for each of 12 tidal constituents; 5 semidiurnal (M2, S2, K2, N2, 2N2), 4 diurnal (K1, O1, P1, Q1), and 3 non-linear (M4, MS4, MN4). Arc5km2018 assimilates coastal and benthic tide gauges, and TOPEX/Poseidon/Jason and European Space Agency (ESA) satellite radar altimetry, to improve the five largest-amplitude constituents, M2, S2, N2, K1 and O1.  Arc5km2018 includes the following updates relative to AOTIM5: (1) it uses an improved prior model with ocean open boundary forcing from an updated TOPEX/Poseidon global barotropic global tide solution (TPXO9.1); (2) it adds four tidal constituents, 2N2 and the three non-linear constituents; and (3) it assimilates much longer time series of altimetry, notably from the ESA satellites that sample to 81.5 degrees north.  We recommend that users compare results from Arc5km2018 and AOTIM5, which is also available at the Arctic Data Center , before deciding which to use for a specific application. Please also check the ESR Polar Tide Model webpage for more recent Arctic barotropic tide models.    Egbert, G. D., and S. Y. Erofeeva (2002), Efficient inverse modeling of barotropic ocean tides, Journal of Atmospheric and Oceanic Technology, 19(2), 183-204.      Padman, L., and S. Erofeeva (2004), A barotropic inverse tidal model for the Arctic Ocean, Geophysical Research Letters, 31(2), L02303.",2020-01-01T08:00:00Z,2020-05-20T19:04:31Z
doi:10.18739/A2J678X27,Christian Mattmann,"Text REtrieval Conference (TREC) Dynamic Domain polar dataset code, 2015-2016",Cryosphere,"Climate change is amplified in the Polar Regions. Polar amplification is captured via space and airborne remote sensing, in-situ measurement, and climate modeling. Beyond the rich literature that documents changing Polar regions, each method of Polar-data collection produces a diverse set of data types, ranging from text-based metadata to more complex data structures (e.g. HDF, NetCDF, GRIB). Because finding these data is often a primary challenge in scientific discovery, inclusion of the Polar dataset in TREC-DD would help advance science through data discovery and provide TREC-DD a new challenge in in the realm of search relevancy.

Dataset Description:

This dataset is a collection of web crawls from three primary sources:

Dr. Chris Mattmann's crawl of ADE, performed at the Open Science Codefest and at the [NSF DataViz Hackathon for Polar CyberInfrastructure] (http://nsf-polar-cyberinfrastructure.github.io/datavis-hackathon/)
Dr. Mattmann's student Angela Wang, contributed 3 datasets: 2 crawls of ACADIS and one of NASA AMD.
Dr. Mattmann's CSCI 572 Course at USC, students submitted 13 individual crawls of NASA ACADIS, NSIDC ADE, and AMD.
Each web crawl used Apache Nutch as the core framework for web crawling and Apache Tika as the main content detection and extraction framework. Nutch is a distributed search engine that runs on top of Apache Hadoop. Apache Tika is an open source framework for metadata exploration, automatic text mining, and information retrieval.

Web crawls were focused on three polar data repositories: the National Science Foundation Advanced Cooperative Arctic Data and Information System (ACADIS), the National Snow and Ice Data Center (NSIDC) Arctic Data Explorer (ADE), and the National Aeronautics and Space Administration Antarctic Master Directory (AMD).

The finished Polar dataset is composed of 17 distinct web crawls, containing 1,741,530 records (158 GB) across the three Polar science data repositories, which themselves are largely uncoordinated.",2017-07-27T07:00:00Z,2020-05-20T16:52:56Z
doi:10.18739/A2PG1HP17,Robert Campbell,Zooplankton Genetics 2015,NA,"The files contain mitochondrial gene sequence data for individual zooplankton (Calanus spp. And Thysanoessa spp.) collected near Barrow, AK. The files are Fasta files that can be opened in most bioinformatics software programs (e.g. Geneious, MegAlign, MEGA) or text/word processing programs. For each sequence, the file contains the species identification, isolate number, station number, collection location (Lat, Lon), collection date, the sequenced gene followed by the sequence.",2016-08-16T07:00:00Z,2020-05-19T20:31:44Z
doi:10.18739/A25D8NF50,Craig Allen,"Adaptive Capacity and Resilience in the New Arctic: Identifying Pathways to Equitable, Desirable Outcomes for People and Nature, 2018-2020",Convergence Resilience Mid-latittude connection Complex adaptive systems Social-ecological systems,"We convened a series of three workshops, and a small fourth, final writing workshop, where disparate and relevant expertise was brought to bear on our workshop themes with a diverse group of researchers, practitioners, and stakeholders in the Far North and mid-latitudes to understand how transformations in the New Arctic can be managed to reduce inequitable and undesirable outcomes for people and nature.  The overarching workshop themes were to: 1) Provide a venue where alternative viewpoints and traditional and disciplinary understanding may be voiced to enhance our knowledge of change in the New Arctic; 2) Explore alternative scenarios resulting from the loss of Arctic resilience that have occurred or are underway, sources of adaptive capacity and pathways for transformation to desired states, and methods to enhance the resilience of desirable states; 3) Develop a framework for assessing risk profiles associated with alternative scenarios for Indigenous Peoples’ and non-Indigenous communities; and 4) Communicate our results with Indigenous and other local stakeholders in the Arctic, and, with local funding, in the mid-latitudes.  Our workshops attempted a convergence of expertise within a complex adaptive systems model of the New Arctic. This framework integrates components from Indigenous Peoples’ traditional knowledge, ecology, sociology, psychology, climate sciences, geosciences, computer science, economics, and human health. Importantly, as the Arctic continues to rapidly transform, there is a genuine risk of growing inequity. Indigenous Peoples’ narratives surrounding social, cultural, and economic mechanisms to prevent such inequity are often underrepresented. Our workshops directly addressed this by including listening sessions with Indigenous and other local stakeholders at the outset of the workshop series, with stakeholders invited to attend part or all of the rest of the workshop presentations and discussions.  We successfully held four workshops focused on our initial themes and goals.  Two of these workshops were held in Alaska (Fairbanks and Anchorage), specifically integrating Arctic perspectives.  A third was held in Lincoln, Nebraska, and focused on Arctic-mid-latitude connections, and included local Indigenous groups and agricultural producers.  A fourth, smaller, workshop was held outside of San Francisco, and focused on integration and manuscript writing.  The Alaska workshops included listening sessions from Indigenous representatives and opportunities for all participants to express their knowledge and opinions regarding the rapidly changing Arctic.  Participants in the workshops presented to the group their own expertise and tools of their trade, framed around the workshop themes to encourage cohesion and stimulate convergence; heard stories of change in the Arctic from Indigenous peoples; participated in roundtable, open forum discussions; broadly sketched out alternative futures to explore various, unscripted paths; and explored aspects of the New Arctic, what convergence means, goals and endpoints of the workshops and novel tools for assessing change.  We closed out the convergence process with a fourth workshop to discuss and synthesize both the successes and failures of our Arctic convergence process, as well as a broader discussion about the critical elements necessary for a convergence process, and the challenges and barriers to success.  These workshops opened new pathways of discussion, communication and collaboration amongst a very diverse group of participants.  Participants reported that the networking and collaborative aspects of the workshops were most useful.  Participants included a large number of early career scientists and managers who were able to jumpstart collaborative relationships with more senior personnel, and with indigenous peoples in the Arctic and in Nebraska.",2020-01-01T08:00:00Z,2020-05-19T20:35:07Z
doi:10.18739/A2696ZZ30,Breanyn MacInnes,"Tsunami and Paleotsunami Data, Islands of the Four Mountains, Alaska, 2014",Paleotsunami Islands of the Four Mountains Tsunami,"This dataset contains observations of the inland extent (elevation above and distance inland from the shoreline) of the 1957 Aleutian tsunami, plus stratigraphic information of likely paleotsunami deposits on Chuginadak Island, in the Islands of the Four Mountains, Aleutians, Alaska. All observations will be published in special issue with other collaborators on the project (citation available after publication), or can be obtained from the author at macinnes@geology.cwu.edu
This dataset was collected as part of an interdisciplinary human/ecosystems resilience project in the Islands of the Four Mountains that included the study of hazards caused by earthquakes, tsunamis and volcanic eruptions. The Four Mountains island group provide an excellent opportunity to assess the development of prehistoric human adaptations to geological hazards and environmental change because they lie within a zone of high catastrophic potential. As examples, Mt. Cleveland, has erupted explosively more than 20 times in the last decade and during the time of prehistoric human habitation. The Aleutian plate boundary is the site of four earthquakes having a magnitude greater than 8 and dozens with magnitudes greater than 7, and these have generated tsunamis historically and prehistorically. 
The Four Mountain prehistoric sites are little studied but are highly significant for interpreting the role of geologic hazards on human migration and societal development in the Aleutian archipelago. The 2-year project (2014-2015) included a team of professional and student archaeologists, geologists, ecologists, and zoologists. Extensive datasets, in addition to the tsunami dataset here, include radiocarbon, geological, paleoenvironmental, and cultural data. These data yield novel insights into the record of geological hazards, human coping mechanisms, changing subsistence, and adaptations during the prehistoric and European contact periods. Additionally, assessing the degree to which geological hazards in the Aleutian archipelago disrupted prehistoric human and ecological systems has important lessons for current inhabitants of the northern Pacific Rim.",2017-04-28T07:00:00Z,2020-05-19T20:41:52Z
doi:10.18739/A2Q23R121,Derek Taylor,"Reference genome for a novel family of RNA viruses from subarctic ponds, 2011",RNA virus genome Chaoborus Phasmaviridae Phasmavirus phantom midge,"Very little is known of viral diversity in polar freshwater ponds and about the effects that climate-induced habitat changes in these regions will have on virus-host interactions. Our results show that at the tundra-boreal boundary, a hidden viral landscape is being altered, as infected boreal phantom midges colonize tundra ponds. The family of RNA viruses involved is novel (Phasmaviridae) and its discovery suggests that ancient and highly divergent viruses remain undetected in nature and may offer fresh insight into host reservoirs, potential sources of emerging disease and major lifestyle shifts in the evolutionary history of viruses. The data here include the reference genome and annotation of Kigluaik phantom orthophasmavirus (the type species) isolated from phantom midges in a subarctic pond near Salmon Lake Alaska.",2017-08-10T07:00:00Z,2020-05-21T17:22:23Z
doi:10.18739/A2K93168N,Derek Taylor,"Seward Peninsula Pond locations, physical data and zooplankton presence/absence, 2000-2014",ponds zooplankton freshwater Daphnia Chaoborus thaw pond,"Most of the freshwater component of the Earth's surface is composed of shallow tundra ponds. These high latitude ecosystems have been exposed to a variety of abiotic disturbances associated with recent environmental change. However, the biological significance of these changes remains poorly understood. The present data were collected to address changes in pond zooplankton communities at the boreal-tundra ecotone associated with recent tundra pond formation. The submission contains data for 345 persistent ponds on the Seward Peninsula, Alaska. Pond locations (Lat.,Long.), physical parameters (including pond areas and perimeters), and zooplankton presence/absences from the most recent sampling. Recently formed thaw ponds are flagged as a ""1"" using the old_new variable.",2017-08-10T07:00:00Z,2020-05-21T17:22:31Z
doi:10.18739/A29S1KK8S,Michael Bergin,"Daily Averages of Aerosol Properties in Summit, Greenland",aerosol albedo Greenland snow,"The collaborative team will take advantage of the currently funded Greenland Inland Traverse (GrIT) traveling between Thule and Summit Greenland to access a spatially diverse area of the GIS in order to better understand albedo variability and the snow properties that influence albedo. The GrIT route offers a unique opportunity to study a wide range of snow accumulation zones (i.e. the ablation zone, soaked snow zone, the percolation zone and the dry snow zone) across Greenland, which are expected to have a broad range of albedo values as well as significant variability in snow physical properties and concentrations of light absorbing compounds (i.e. dust, elemental carbon, and brown carbon). The project's field component will take place over two seasons during the spring of 2013 and 2014. The approach will include stopping along the traverse to collect coincident daily measurements of snow spectral albedo, snow physical properties (i.e. specific surface area, density), surface snow light absorption properties (i.e. wavelength dependent absorption of water soluble compounds and particulates), and the concentrations of trace elements, organic, and elemental carbon. Additionally, the temporal evolution of spectral albedo will be monitored continuously during the sunlit months using autonomous stations deployed along the traverse route to track seasonal variations of snow albedo and to help attribute these variations to the physical and chemical composition of the snow. The results of this project will yield a unique data set characterizing the temporal and spatial variability of surface albedo as well as the physical and chemical properties of Greenland snow, which are broadly useful to both modeling, ice mass balance, and remote sensing communities. Conference presentations, rapid publication of results, and most importantly close collaboration with modelers, (i.e. through work with the CESM PCWG) will ensure that this knowledge is used to improve process parameterizations in predictive global climate models. The team will also build on international collaborations begun in the Dartmouth IGERT program, including a week-long ambassadorship to Nuuk by co-PI Polashenski including lectures at the college and Katuuaq cultural center. Graduate, undergraduate, and high school student training will also be included in the project.",2012-10-26T07:00:00Z,2020-05-21T17:22:53Z
doi:10.18739/A21C1TG4S,Derek Taylor,"A revision of the crustacean genus Eurycercus with genetic and morphological evidence for a new species, Eurycercus beringi, from Alaska, 2011",freshwater Cladoceran Crustacean tundra ponds Eurycercus zooplankton Alaska genetic,"This data contains genetic sequences of crustaceans from the mitochondrial genome in support of the discovery and description of a new species of crustacean in Alaska, Eurycercus beringi. 
We carried out a detailed anatomical and genetical analysis of Holarctic crustaceans of the freshwater genus Eurycercus in order to understand the biodiversity and potential implications of recent environmental change and surface water loss in the Arctic. We described new species and revised the subgenus. The genus is an important source of food for fish, waterfowl, and wading birds. Eurycercus is also used in paleolimnology to reconstruct past environmental conditions. We aimed for thorough geographic coverage of subarctic and arctic Siberia, Greenland, Alaska and Canada.  The genetic results support the revision of the genus Eurycercus and the novel species E. beringi.",2017-08-31T07:00:00Z,2020-05-21T17:30:16Z
doi:10.18739/A2RV0D15F,Derek Taylor,"Zooplankton-phasmavirus population genetic and prevalence data in Subarctic ponds, 2011-2015",NA,"The file contains sequence alignments (population data) of individual phantom midges from permanent ponds, (Chaoborus spp.) and their associated RNA viruses ( Orthophasmaviridae: Kigluaik phantom virus or KIGV, Nome phantom virus or NOMV). The host sequences are from two genes from the mitochondrial genome while the viral sequences are from all four genes in their respective genomes. To preserve annotations, the alignment data files are in the Sequin format (freely available from NCBI). All files are readily converted to the FASTA format within Sequin. 
Virus prevalence data are given for 25 ponds (and a five year window for one site). Also virus screening data (from reverse transcription PCR) for non-midge arctic zooplankters are given. Study ponds (co-ordinates are provided in a file ) are both recent thaw and glacial ponds on the Seward Peninsula, AK, and Baffin Island, Canada.",2017-08-10T07:00:00Z,2020-05-21T17:30:41Z
doi:10.18739/A2057CS88,Marie Lowe,"Education and community viability in Western Alaska, 2012-2015",NA,"DATA ARE NOT SUPPLIED HERE DUE TO SENSITIVITY SURROUNDING HUMAN SUBJECTS. PLEASE CONTACT DR. LOWE FOR MORE INFORMATION.  A cross-section of youth and young adults across the Bering Sea region were interviewed on their post-secondary educational opportunities facilitated by the Community Development Quota (CDQ) program. The overarching project research question was: Do opportunities in post-secondary education for youth contribute to the viability of Bering Sea communities and way of life? ""Viability""is defined by the degree to which a community can balance in- and out-migration, sustain a context of livelihood diversification, and create bridges to resources external to the community. To answer the research question, the investigators therefore also asked: Are there differences between contributions of college degree earners and those of vocational training graduates?  What is the effect of post-secondary education on rural community out-migration for youth in Alaska? What is the effect of post-secondary education on occupation selection among rural Alaska youth?  What kinds of educational opportunities contribute to bridging youth with resources external to coastal communities?  Are there academic, sociocultural, or economic constraints preventing students from completing their studies or training? Hypotheses tested included the following: 1) More educational scholarships are awarded than vocational training grants. 2) More women are applying for post-secondary awards. 3) Completion of post-secondary education is correlated with outmigration. 4) Participation in educational ""bridging"" programs contribute to completion of education or training.  5) The majority of respondents who did not complete their studies dropped out after one year.  6) The average time to completion of studies is much longer than the traditional four years.  7) Having a social support network contributes to completion of studies. 8) Lack of adequate academic preparation contributes to non-completion of studies. 9) Financial hardship/poverty contributes to non-completion of studies. 10) Most people leave Western Alaska to find employment.
Data sets included: 1) Western Alaska regional profile summaries of U.S. Census and State of Alaska data on: demographics, employment, development, subsistence economy data, educational statistics, and subsistence harvest data. 2) Ethnographic fieldnotes; 3) Focus group interview transcripts from 31 students interviewed at the University of Alaska and Alaska Career Academy; 5) An SPSS data file of 351 survey responses for survey on Alaska rural youth scholarship outcomes.",2017-09-12T07:00:00Z,2020-05-21T17:48:35Z
doi:10.18739/A2445HC95,Chris Mattmann,"Data Driven Documents (D3) polar data visualizations for the Text REtrieval Conference Dynamic Domain (TREC DD) polar dataset, 2016",dataviz polar,"The National Institutes of Standards and Technology (NIST) Text Retrieval Conference (TREC) Polar Dynamic Domain dataset (TREC-Polar-DD dataset) was collected over the past few years across various computer science courses (CSCI 572) at the University of Southern California (USC) and in collaboration with the NSF Polar CyberInfrastructure program, and the DARPA Memex program and its TREC Dynamic Domain track. TREC-Polar-DD is a diverse dataset that was collected with the Apache Tika, Nutch and Solr software systems, and includes over 158GB in total of data comprising 1.7 million web pages obtained during 17 distinct web crawls from the National Science Foundation Advanced Cooperative Arctic Data and Information System (ACADIS), the National Snow and Ice Data Center (NSIDC) Arctic Data Explorer (ADE), and the National Aeronautics and Space Administration Antarctic Master Directory (AMD) data archives. This web crawl data (http://doi.org/doi:10.18739/A2280J), along with HTML and javascript/D3 source code was used to produce the data visualizations found in polar.usc.edu-gh-pages.zip.",2017-08-08T07:00:00Z,2020-05-21T17:33:05Z
doi:10.18739/A2NS0KZ0K,Joseph McConnell,Chemical measurements in the Arctic Circle Traverse 2011 (ACT11) ice cores,Earth Science PALEOCLIMATE INDICATORS ICE CORE RECORDS,"Net snow accumulation is the largest single component and the sole input to the Greenland ice sheet mass budget. To map spatial and temporal changes in high net snow accumulation regions of the southeast Greenland ice sheet during the past 5 decades, two surface traverses were undertaken in 2010 and 2011. The NSF-funded traverses were called Arctic Circle Traverse (ACT)10 and ACT11 and included detailed measurements of surface elevation and ice penetrating. A small array of shallow ice cores was collected and analyzed using the continuous analytical system at the Desert Research Institute. The measurements primarily were intended to allow for accurate dating of annual layers and so to determine past net annual snow accumulation, as well as age scales for the radar surveys.",2020-01-01T08:00:00Z,2020-03-20T21:41:35Z
doi:10.18739/A2B56D49C,Martha Raynolds,"Length, area, vegetation types and expected disturbance level of proposed 2019 seismic trails in Arctic National Wildlife Refuge 1002 Area, Alaska",Arctic seismic exploration Arctic National Wildlife Refuge 1002 Area 3D seismic tundra trails,"This table quantifies the length, area, vegetation types and expected disturbance level of the trails that would have been created by the proposed 2019 seismic exploration of the 1002 Area of the Arctic National Wildlife Refuge. The estimates are based on a) vegetation maps of the Arctic NWR, b) USFWS studies of the impacts of seismic exploration in the 1002 Area of the Arctic NWR, and c) the proposal by SAExploration submitted to the US Bureau of Land Management:  SAExploration. 2018. Marsh Creek 3D plan of operations winter seismic survey. Retrieved from https://eplanning.blm.gov/epl-front-office/projects/nepa/111085/153349/187888/Marsh_Creek_Plan_  This information was published in an article in Ecological Applications in 2020. The length and area estimates were included in the text, and the amounts in each vegetation type and expected area with different levels of disturbance were included in Table 3.  Raynolds, Martha K. , Janet C. Jorgenson, M. Torre Jorgenson, Mikhail Kanevskiy, Anna K. Liljedahl, Matthew Nolan, and Matthew Sturm, Donald A. Walker. 2020 (in press). Ecological Applications",2020-01-01T08:00:00Z,2020-04-07T16:56:02Z
urn:uuid:f15a5940-e5b7-45d8-8019-b85186eec4a1,Robert Wagner,"Methane (CH4) loss from Arctic: towards an annual budget of CH4 emissions from tundra ecosystems across a latitudinal gradient, Alaska, 2013-2017","Arctic, Methane, Soil, BEO, chamber","The research project will investigate year-around CH 4 (methane) and CO 2 (carbon dioxide) fluxes at three Alaskan Arctic sites (Barrow, Aquasuk, and Ivotuk) across a latitudinal gradient of about 300 kilometers from the northern part of the Arctic Coastal Plain to the foothills of the Brooks Range, in Alaska. These measurements will be used to improve estimates of rates and patterns of and controls on annual GHG fluxes, with special contribution to understanding of the fall, winter and spring fluxes. This project will be among the first efforts toward the estimation of a full annual budget of both CH 4 and CO 2 net emissions from three tundra ecosystems across a transect in Arctic Alaska. Of primary importance is the quantification of non-summertime CH 4 emissions because of the potentially large impact on overall climatic effects. This information has historically been very difficult to collect because of severe weather and remote monitoring stations. Recent advances in measurement technology will make these studies feasible in remote locations and under extreme weather conditions. In particular, this research will make use of the new closed-path LI-7200 and the self-cleaning and heated, low-power,open-path LI-7700 CH 4 analyzer for the most remote site (Ivotuk). The team will employ the closed-path CH 4 Los Gatos analyzer that corrects for the cross-sensitivity of water for the Barrow and Atqasuk sites. A heated sonic Class-A METEK will be used to record turbulence measurements. In-situ measurements of oxidation-reduction potential, pH, dissolved gases, chemical characterization of soils and soil pore water, and metagenomic analysis will elucidate the dominant respiratory pathways. Project scientists and SDSU (San Diego State University) will partner with the Reuben H. Fleet Science Centre to improve polar and climate change knowledge and understanding. Project activities will include workshops and seminars on climate change, and potential GHG (greenhouse gas) feedbacks in the Arctic for teachers and the general public in the San Diego area, and for the community in Barrow.",2019-01-01T08:00:00Z,2020-04-03T18:22:14Z
urn:uuid:19c12630-0dc1-401d-a0d8-aadf031f6ee4,Andrey Proshutinsky,"Continuing the Beaufort Gyre Observing System to document and enhance understanding environmental change in the Arctic, 2009-2018",NA,"This Arctic Observing Network (AON) project will conduct Beaufort Gyre Observational System (BGOS) operations begun in 2003 during 2009-2014 to document the unprecedented changes in sea ice and ocean parameters that are presently occurring in the Beaufort Gyre (BG) region. The project will measure time series of temperature, salinity, currents, geochemical tracers, sea ice draft, and sea level using bottom-tethered moorings and shipboard measurements. Three moorings will acquire precise data on the variations of the vertical distribution of seawater properties, bottom pressures and sea ice draft at sites: 75N and 150W; 78N and 150W; and 77N and 140W. Ship-based sampling covering the entire BG, will be performed in collaboration with scientists in Canada and Japan with shared logistics expenses, to augment the year-round mooring measurements. Temperature, salinity, oxygen, nutrients, barium and delta-18O will be measured and analyzed at 30 standard locations along 140W, 150W, ~ 75N and ~78N sections using shipboard CTD (conductivity, temperature, and depth)/rosette to provide long-term time series started in 2003. Samples that provide information on longer time-scales, such as CFCs (chlorofluorocarbons) and carbon tetrachloride, alkalinity, total CO 2 , dissolved inorganic carbon and tritium/3He, will be collected less frequently. Between CTD/rosette casts, expendable CTDs that profile to 1100 m depth will be used to increase spatial resolution of the temperature and salinity fields. The proposed work will be coordinated with the basic elements of AON to enhance effectiveness and interconnections of observational activities.",2019-01-01T08:00:00Z,2019-05-03T19:53:13Z
doi:10.18739/A2TB0XV89,Benjamin Jones,"Northwestern Arctic Alaska beaver dam locations, Kotzebue, Alaska, 2002-2019",beavers beaver dams arctic tundra,"Arctic landscapes are in a state of transition due to changes in climate occurring during both the summer and winter seasons. Scattered observations indicate that beavers (Castor canadensis) have moved from the forest into tundra areas during the last 20 years, likely in response to broader physical and ecosystem changes occurring in Arctic and Boreal regions. The implications of beaver inhabitation in the Arctic and Boreal are unique relative to other ecosystems due to the presence of permafrost and its vulnerability associated with beaver dams and inundation. Our study specifically examines the role of beavers in controlling surface water dynamics and related thermokarst development in low Arctic tundra regions. We mapped the number of beaver dams visible in sub-meter resolution satellite images acquired between 2002 and 2019 for a 100 square kilometer study area (12 years of imagery) near Kotzebue, Alaska and a 430 square kilometer study area (3 years of imagery) encompassing the entire northern Baldwin Peninsula, Alaska. We show that during the last two decades beaver-driven ecosystem engineering is responsible for the majority of surface water area changes and inferred thermokarst development in the study area. This has implications for interpreting surface water area changes and thermokarst dynamics in other Arctic and Boreal regions that may also result from beaver dam building activities.  This geospatial dataset provides the location of beaver dams in a 100 square kilometers study area located near Kotzebue, Alaska. The location of beaver dams were manually digitized using sub-meter resolution satellite imagery for the years 2002, 2007-2014, and 2017-2019.",NA,2020-03-26T23:42:57Z
doi:10.18739/A2F09M,Kathleen M Stafford,Passive acoustic data from A3 in the Bering Strait for January 2015,ambient noise hydrophone mooring,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 65.78 N latitude and 168.568 W longitude. Data were recorded from 10 Hz - 4096 Hz (8 kHz sample rate) the first 20 minutes of each hour from July 2014- July 2015.,2016-04-14T07:00:00Z,2017-03-10T06:26:29Z
doi:10.18739/A2P06N,Kathleen M Stafford,Passive acoustic data from A3 in the Bering Strait 6 of 17 (130328_030000_AU_BS03.wav to 130508_170000_AU_BS03.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT 1 MINUTE TO 1 HOUR biota oceans,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 66.76 N latitude and 168.95 W longitude. Data were recorded from 10 Hz - 8192 Hz (16 kHz sample rate) the first 10 minutes of each hour from September 2012-May 2013 and July 2013-July 2014,2014-10-07T07:00:00Z,2016-09-20T23:12:23Z
doi:10.18739/A2JS9H795,Meibing Jin,"Regional Arctic System Model and ecosystem model, pan-Arctic region, 9 kilometer model grid",Arctic Ocean Ecosystem model climate model sea ice ocean,"To improve our understanding of the Arctic marine ecosystem variations in response to climate changes, this project developed the high-resolution Regional Arctic System Model (RASM) with an addition capacity of coupled sea ice and marine biogeochemistry (mBGC). During the course of the project, we published nine journal papers, and one still under review. Our main outcomes are: 1) built up the coupled ice-ocean mBGC codes into the RASM; 2) evaluated the model extensively in the subarctic and Arctic Oceans with multidecadal observational data. The global coarse resolution model and high resolution regional model converge to similar mean status of observed physical ecosystem environments in general, but high resolution model can better represent areas with sharp topographic gradient, and shelf-basin exchanges, thus get reduced model errors compared with observations; 3) compared with other arctic ecosystem models with different model domains, resolutions and parameters to better understand model behaviors. Our models performed reasonably well in simulation of spatial distribution of annual cycle of ocean stratification, nutrients, chlorophyll and primary production etc. compared to other models; 4) investigate arctic marine ecosystem changes in response to climate changes. Under a warming arctic with declining sea ice cover, the total primary production within the Arctic Circle is increasing according to our model, in agreement with several other models and remote sensing results. 5) released the RASM version 1 to general public and conducted education and outreach through various presentations at scientific conferences and to non-professional audiences.  The archived data are the high resolution Regional Arctic System Model (RASM) and ecosystem model code and input parameters, the model can be run as a G-case (ice-ocean-ecosystem with atmospheric reanalysis forcing data, e.g., National Center for Atmospheric Research Coordinated Ocean-ice Reference Experiments II (NCAR CORE II) data from 1948-2009, or Japan's Japanese 55-year Reanalysis (JRA) 55 data from 1958 to near present) or fully coupled case (atmosphere-land-ice-ocean-ecosystem). The model domain is pan-arctic region (north of 30 degree north) with around 9 kilometer model grid.",2020-03-20T07:00:00Z,2020-04-01T22:52:25Z
doi:10.18739/A22Z12P9Z,Lynn M. Russell,"Arctic Aerosol Chemistry: Submicron Organic and Elemental Aerosol Composition at Utgiagvik (Barrow), Alaska, from March 2008 to February 2010",Arctic aerosol aerosol particles organic aerosol FTIR,"The general seasonal climatology and chemical composition of Arctic aerosol are basically well understood, but the contribution from organic compounds is not. At lower latitudes, organics are known to play a large role in climate forcing. We carried out a sampling program at Barrow, Alaska, to determine the fraction of Arctic aerosol that is organic, throughout the year, and identify functional group composition, possible anthropogenic sources, and to provide a basis for rigorous incorporation of Arctic aerosol chemical composition in climate change studies. With additional measurements from a new shortwave spectroradiometer covering the wavelength range 0.35 - 2.5 microns and supplemental data from the U.S. Department of Energy Atmospheric Radiation Measurement Program site at Barrow, we were able to quantify the shortwave component of the first aerosol indirect effect.",2020-01-01T08:00:00Z,2020-03-09T16:26:24Z
